,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1055,133390,2018-11-28 03:30:00,2018-11-28 03:45:00,2018-11-28 04:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-42.0,-44.0,12.0,12.0,-39.0,-39.0,0.0,0.0,17.0,17.0,-43.0,-56.0,12.0,12.0,-39.0,-52.0,8.0,0.0,17.0,17.0,-43.0,-91.0,12.0,12.0,-39.0,-82.0,-64.5,18.0,-36,-84,3.0
1039,133390,2018-06-15 17:45:00,2018-06-15 18:00:00,2018-06-15 18:15:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-42.0,-53.0,12.0,12.0,-38.0,-48.0,18.0,2.0,17.0,17.0,-43.0,-75.0,12.0,12.0,-39.0,-68.0,57.0,1.0,17.0,17.0,-57.0,-84.0,12.0,12.0,-52.0,-77.0,-64.5,18.0,-36,-84,3.0
1052,133390,2018-09-13 18:00:00,2018-09-13 18:15:00,2018-09-13 18:30:00,19,9,18,56,0,39.0,0.0,17.0,17.0,-66.0,-84.0,12.0,12.0,-60.0,-77.0,10.0,0.0,17.0,17.0,-52.0,-68.0,12.0,12.0,-48.0,-62.0,42.0,0.0,17.0,17.0,-49.0,-68.0,12.0,12.0,-45.0,-62.0,-64.5,18.0,-36,-84,3.0
1045,133390,2018-08-24 14:15:00,2018-08-24 14:30:00,2018-08-24 14:45:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-48.0,-56.0,12.0,12.0,-43.0,-51.0,0.0,0.0,17.0,17.0,-48.0,-61.0,12.0,12.0,-44.0,-55.0,4.0,0.0,17.0,17.0,-58.0,-94.0,12.0,12.0,-52.0,-91.0,-64.5,18.0,-36,-84,3.0
1041,133390,2018-06-15 18:15:00,2018-06-15 18:30:00,2018-06-15 18:45:00,19,9,18,56,0,57.0,1.0,17.0,17.0,-57.0,-84.0,12.0,12.0,-52.0,-77.0,9.0,0.0,17.0,17.0,-69.0,-94.0,12.0,12.0,-63.0,-91.0,17.0,0.0,17.0,17.0,-43.0,-88.0,12.0,12.0,-39.0,-79.0,-64.5,18.0,-36,-84,3.0
1038,133390,2018-06-15 17:30:00,2018-06-15 17:45:00,2018-06-15 18:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-43.0,-53.0,12.0,12.0,-38.0,-49.0,0.0,0.0,17.0,17.0,-42.0,-53.0,12.0,12.0,-38.0,-48.0,18.0,2.0,17.0,17.0,-43.0,-75.0,12.0,12.0,-39.0,-68.0,-64.5,18.0,-36,-84,3.0
1049,133390,2018-08-24 18:30:00,2018-08-24 18:45:00,2018-08-24 19:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-43.0,-48.0,12.0,12.0,-39.0,-43.0,6.0,0.0,17.0,17.0,-48.0,-67.0,12.0,12.0,-43.0,-61.0,94.0,9.0,17.0,17.0,-57.0,-76.0,12.0,12.0,-51.0,-68.0,-64.5,18.0,-36,-84,3.0
1037,133390,2018-06-15 14:00:00,2018-06-15 14:15:00,2018-06-15 14:30:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-43.0,-59.0,12.0,12.0,-39.0,-53.0,20.0,4.0,17.0,17.0,-49.0,-73.0,12.0,12.0,-44.0,-66.0,17.0,2.0,17.0,17.0,-47.0,-87.0,12.0,12.0,-42.0,-79.0,-64.5,18.0,-36,-84,3.0
1044,133390,2018-06-15 19:45:00,2018-06-15 20:00:00,2018-06-15 20:15:00,19,9,18,56,0,11.0,0.0,17.0,17.0,-47.0,-94.0,12.0,12.0,-43.0,-91.0,19.0,0.0,17.0,17.0,-48.0,-78.0,12.0,12.0,-43.0,-71.0,26.0,4.0,17.0,17.0,-61.0,-94.0,12.0,12.0,-55.0,-94.0,-64.5,18.0,-36,-84,3.0
1051,133390,2018-09-13 17:30:00,2018-09-13 17:45:00,2018-09-13 18:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-42.0,-45.0,12.0,12.0,-38.0,-41.0,24.0,1.0,17.0,17.0,-43.0,-68.0,12.0,12.0,-39.0,-62.0,39.0,0.0,17.0,17.0,-66.0,-84.0,12.0,12.0,-60.0,-77.0,-64.5,18.0,-36,-84,3.0
1043,133390,2018-06-15 19:30:00,2018-06-15 19:45:00,2018-06-15 20:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-43.0,-58.0,12.0,12.0,-38.0,-52.0,11.0,0.0,17.0,17.0,-47.0,-94.0,12.0,12.0,-43.0,-91.0,19.0,0.0,17.0,17.0,-48.0,-78.0,12.0,12.0,-43.0,-71.0,-64.5,18.0,-36,-84,3.0
1046,133390,2018-08-24 14:30:00,2018-08-24 14:45:00,2018-08-24 15:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-48.0,-61.0,12.0,12.0,-44.0,-55.0,4.0,0.0,17.0,17.0,-58.0,-94.0,12.0,12.0,-52.0,-91.0,90.0,19.0,17.0,17.0,-49.0,-77.0,12.0,12.0,-44.0,-69.0,-64.5,18.0,-36,-84,3.0
2162,187548,2019-06-05 19:15:00,2019-06-05 19:30:00,2019-06-05 19:45:00,19,9,11,40,0,20.0,16.0,20.0,20.0,-35.0,-64.0,20.0,20.0,-37.0,-78.0,9.0,7.0,20.0,20.0,-34.0,-68.0,20.0,20.0,-35.0,-71.0,4.0,0.0,20.0,20.0,-35.0,-56.0,20.0,20.0,-35.0,-74.0,-66.5,23.0,-43,-85,3.0
2163,187548,2019-06-05 19:00:00,2019-06-05 19:15:00,2019-06-05 19:30:00,19,9,11,40,0,0.0,0.0,20.0,20.0,-37.0,-63.0,20.0,20.0,-37.0,-55.0,0.0,0.0,20.0,20.0,-36.0,-47.0,20.0,20.0,-37.0,-57.0,4.0,2.0,20.0,20.0,-36.0,-79.0,20.0,20.0,-35.0,-65.0,-66.5,23.0,-43,-85,3.0
2164,187548,2019-06-05 19:15:00,2019-06-05 19:30:00,2019-06-05 19:45:00,19,9,11,40,0,0.0,0.0,20.0,20.0,-36.0,-47.0,20.0,20.0,-37.0,-57.0,4.0,2.0,20.0,20.0,-36.0,-79.0,20.0,20.0,-35.0,-65.0,7.0,5.0,20.0,20.0,-37.0,-50.0,20.0,20.0,-36.0,-79.0,-66.5,23.0,-43,-85,3.0
2408,570832,2019-06-12 04:45:00,2019-06-12 05:00:00,2019-06-12 05:15:00,19,7,11,40,0,0.0,0.0,23.0,23.0,-53.0,-70.0,23.0,23.0,-52.0,-68.0,6.0,4.0,23.0,23.0,-55.0,-78.0,23.0,23.0,-54.0,-72.0,10.0,6.0,23.0,23.0,-55.0,-82.0,23.0,23.0,-54.0,-78.0,-72.0,24.0,-55,-85,3.0
2409,570832,2019-06-12 05:00:00,2019-06-12 05:15:00,2019-06-12 05:30:00,19,7,11,40,0,6.0,4.0,23.0,23.0,-55.0,-78.0,23.0,23.0,-54.0,-72.0,10.0,6.0,23.0,23.0,-55.0,-82.0,23.0,23.0,-54.0,-78.0,27.0,17.0,23.0,23.0,-59.0,-81.0,23.0,23.0,-57.0,-80.0,-72.0,24.0,-55,-85,3.0
