idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
3101,2018-08-07 21:30:00,2018-08-07 21:45:00,2018-08-07 22:00:00,19,2,18,28,1,0.0,0.0,18.0,17.0,-46.0,-68.0,19.0,18.0,-48.0,-69.0,6.0,0.0,21.0,17.0,-58.0,-97.0,22.0,18.0,-59.0,-94.0,51.0,10.0,21.0,17.0,-60.0,-97.0,22.0,18.0,-61.0,-94.0,-85.0,23.0,-37,-86,0.0
3101,2018-08-07 21:15:00,2018-08-07 21:30:00,2018-08-07 21:45:00,19,2,18,28,1,0.0,0.0,17.0,17.0,-38.0,-48.0,18.0,18.0,-40.0,-50.0,0.0,0.0,18.0,17.0,-46.0,-68.0,19.0,18.0,-48.0,-69.0,6.0,0.0,21.0,17.0,-58.0,-97.0,22.0,18.0,-59.0,-94.0,-85.0,23.0,-37,-86,0.0
3891,2019-05-28 16:45:00,2019-05-28 17:00:00,2019-05-28 17:15:00,19,5,23,28,1,0.0,0.0,18.0,18.0,-39.0,-40.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-39.0,-54.0,18.0,18.0,-39.0,-53.0,1.0,0.0,20.0,18.0,-44.0,-97.0,20.0,,-48.0,-55.0,-78.0,21.0,-39,-86,0.0
3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-47.0,-49.0,15.0,15.0,-46.0,-48.0,0.0,0.0,19.0,15.0,-48.0,-75.0,19.0,15.0,-47.0,-76.0,81.0,0.0,19.0,15.0,-57.0,-93.0,19.0,15.0,-57.0,-94.0,-82.5,23.0,-46,-84,0.0
3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-49.0,-50.0,15.0,15.0,-49.0,-50.0,0.0,0.0,19.0,15.0,-50.0,-72.0,19.0,15.0,-49.0,-72.0,38.0,3.0,19.0,15.0,-57.0,-88.0,19.0,15.0,-57.0,-91.0,-82.5,23.0,-46,-84,0.0
3952,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-43.0,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-44.0,4.0,0.0,17.0,17.0,-44.0,-93.0,17.0,17.0,-43.0,-93.0,-81.5,23.0,-41,-83,0.0
3952,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-42.0,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-43.0,49.0,27.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
3952,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-44.0,-45.0,17.0,17.0,-42.0,-44.0,4.0,0.0,17.0,17.0,-44.0,-93.0,17.0,17.0,-43.0,-93.0,6.0,0.0,17.0,17.0,-43.0,-93.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
3952,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-43.0,49.0,27.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,2.0,0.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
4190,2019-06-05 17:45:00,2019-06-05 18:00:00,2019-06-05 18:15:00,19,6,18,56,1,0.0,0.0,18.0,18.0,-41.0,-44.0,18.0,18.0,-41.0,-43.0,4.0,0.0,18.0,18.0,-42.0,-46.0,19.0,18.0,-42.0,-45.0,1.0,0.0,20.0,18.0,-44.0,-94.0,20.0,18.0,-44.0,-94.0,-72.5,21.0,-38,-84,3.0
