idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
287076,2019-05-27 04:30:00,2019-05-27 04:45:00,2019-05-27 05:00:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-44.0,-45.0,22.0,22.0,-45.0,-46.0,0.0,0.0,22.0,22.0,-44.0,-45.0,22.0,22.0,-45.0,-46.0,20.0,0.0,22.0,22.0,-44.0,-88.0,22.0,22.0,-45.0,-85.0,-66.5,23.0,-44,-85,0.0
301442,2019-05-25 16:15:00,2019-05-25 16:30:00,2019-05-25 16:45:00,19,2,23,28,1,0.0,0.0,15.0,15.0,-40.0,-41.0,15.0,15.0,-42.0,-43.0,0.0,0.0,19.0,15.0,-41.0,-74.0,19.0,15.0,-42.0,-76.0,5.0,0.0,19.0,16.0,-68.0,-96.0,19.0,16.0,-69.0,-95.0,-85.0,23.0,-39,-86,0.0
21270,2018-09-07 01:30:00,2018-09-07 01:45:00,2018-09-07 02:00:00,27,2,80,250,1,9.0,1.0,18.0,-2.0,-44.0,-86.0,18.0,-2.0,-43.0,-85.0,28.0,0.0,18.0,-2.0,-79.0,-86.0,18.0,-2.0,-77.0,-86.0,6.0,0.0,18.0,13.0,-44.0,-85.0,18.0,13.0,-43.0,-85.0,-68.0,18.0,-43,-73,0.0
563029,2018-11-04 07:30:00,2018-11-04 07:45:00,2018-11-04 08:00:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
8382,2019-06-20 03:30:00,2019-06-20 03:45:00,2019-06-20 04:00:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-42.0,-51.0,23.0,23.0,-43.0,-52.0,62.0,41.0,23.0,23.0,-48.0,-88.0,23.0,23.0,-49.0,-83.0,192.0,113.0,23.0,23.0,-59.0,-93.0,23.0,23.0,-61.0,-95.0,-66.5,23.0,-40,-85,0.0
3952,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,18,56,1,0.0,0.0,17.0,17.0,-43.0,-44.0,17.0,17.0,-42.0,-43.0,49.0,27.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,2.0,0.0,17.0,17.0,-43.0,-94.0,17.0,17.0,-42.0,-93.0,-81.5,23.0,-41,-83,0.0
112299,2019-06-06 14:15:00,2019-06-06 14:30:00,2019-06-06 14:45:00,19,9,11,40,0,11.0,9.0,22.0,22.0,-42.0,-71.0,22.0,22.0,-39.0,-77.0,3.0,3.0,22.0,22.0,-45.0,-67.0,22.0,22.0,-42.0,-76.0,18.0,15.0,22.0,22.0,-44.0,-84.0,22.0,22.0,-41.0,-84.0,-66.5,23.0,-43,-85,0.0
563029,2018-11-04 02:00:00,2018-11-04 02:15:00,2018-11-04 02:30:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,0.0,0.0,16.0,16.0,-94.0,-94.0,16.0,16.0,-94.0,-94.0,-75.0,19.0,-39,-82,0.0
1189727,2019-05-29 04:30:00,2019-05-29 04:45:00,2019-05-29 05:00:00,29,5,18,28,1,0.0,0.0,18.0,18.0,-52.0,-54.0,18.0,18.0,-53.0,-55.0,0.0,0.0,18.0,18.0,-52.0,-55.0,18.0,18.0,-53.0,-56.0,8.0,0.0,21.0,18.0,-54.0,-82.0,21.0,18.0,-55.0,-84.0,-78.5,21.0,-53,-85,0.0
21270,2018-09-07 02:45:00,2018-09-07 03:00:00,2018-09-07 03:15:00,27,2,80,250,1,5.0,0.0,18.0,-2.0,-57.0,-86.0,18.0,-2.0,-55.0,-86.0,5.0,0.0,18.0,-2.0,-66.0,-86.0,18.0,-2.0,-64.0,-86.0,5.0,0.0,18.0,15.0,-67.0,-86.0,18.0,15.0,-64.0,-85.0,-68.0,18.0,-43,-73,0.0
