idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
21270,2018-12-16 22:30:00,2018-12-16 22:45:00,2018-12-16 23:00:00,27,2,80,250,1,21.0,0.0,18.0,13.0,-62.0,-84.0,18.0,13.0,-62.0,-85.0,94.0,15.0,18.0,15.0,-67.0,-80.0,18.0,15.0,-69.0,-83.0,7.0,0.0,18.0,13.0,-52.0,-85.0,18.0,13.0,-52.0,-86.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
33846,2019-03-21 13:45:00,2019-03-21 14:00:00,2019-03-21 14:15:00,27,1,80,250,1,54.0,39.0,18.0,13.0,-36.0,-41.0,18.0,13.0,-59.0,-70.0,126.0,86.0,18.0,13.0,-36.0,-42.0,18.0,13.0,-54.0,-71.0,28.0,13.0,18.0,13.0,-36.0,-42.0,18.0,13.0,-52.0,-74.0,-71.0,18.0,-21,-73,0.0,1.0,0.0,0.0,0.0,0.0
21270,2018-09-07 02:30:00,2018-09-07 02:45:00,2018-09-07 03:00:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-44.0,-57.0,13.0,13.0,-43.0,-55.0,5.0,0.0,18.0,-2.0,-57.0,-86.0,18.0,-2.0,-55.0,-86.0,5.0,0.0,18.0,-2.0,-66.0,-86.0,18.0,-2.0,-64.0,-86.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
33846,2019-03-24 14:30:00,2019-03-24 14:45:00,2019-03-24 15:00:00,27,1,80,250,1,82.0,37.0,18.0,13.0,-36.0,-41.0,18.0,13.0,-58.0,-75.0,23.0,10.0,18.0,13.0,-38.0,-41.0,18.0,13.0,-56.0,-73.0,85.0,37.0,18.0,13.0,-36.0,-43.0,18.0,13.0,-56.0,-73.0,-71.0,18.0,-21,-73,1.0,0.0,0.0,0.0,0.0,0.0
21270,2018-11-20 11:45:00,2018-11-20 12:00:00,2018-11-20 12:15:00,27,2,80,250,1,4.0,0.0,18.0,13.0,-50.0,-86.0,18.0,13.0,-49.0,-86.0,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
21270,2019-01-17 12:00:00,2019-01-17 12:15:00,2019-01-17 12:30:00,27,2,80,250,1,0.0,0.0,13.0,13.0,-43.0,-44.0,13.0,13.0,-42.0,-43.0,5.0,0.0,18.0,13.0,-44.0,-85.0,18.0,13.0,-43.0,-85.0,3.0,0.0,18.0,13.0,-51.0,-86.0,18.0,13.0,-51.0,-85.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
21270,2018-11-20 12:00:00,2018-11-20 12:15:00,2018-11-20 12:30:00,27,2,80,250,1,22.0,0.0,18.0,5.0,-59.0,-86.0,18.0,-2.0,-58.0,-86.0,1.0,0.0,18.0,-2.0,-59.0,-87.0,18.0,-2.0,-58.0,-86.0,15.0,0.0,18.0,-2.0,-74.0,-86.0,18.0,-2.0,-70.0,-86.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
33846,2019-03-22 15:00:00,2019-03-22 15:15:00,2019-03-22 15:30:00,27,1,80,250,1,0.0,0.0,13.0,13.0,-42.0,-45.0,13.0,13.0,-49.0,-55.0,2.0,0.0,18.0,13.0,-42.0,-44.0,13.0,13.0,-49.0,-60.0,63.0,37.0,18.0,13.0,-36.0,-43.0,18.0,13.0,-53.0,-71.0,-71.0,18.0,-21,-73,0.0,1.0,0.0,0.0,0.0,0.0
631624,2018-12-09 12:30:00,2018-12-09 12:45:00,2018-12-09 13:00:00,27,2,80,250,1,234.0,97.0,18.0,13.0,-30.0,-63.0,18.0,13.0,-29.0,-58.0,185.0,52.0,18.0,13.0,-32.0,-60.0,18.0,13.0,-32.0,-60.0,266.0,102.0,18.0,13.0,-30.0,-63.0,18.0,13.0,-30.0,-56.0,-68.0,18.0,-35,-73,1.0,0.0,0.0,0.0,0.0,0.0
21270,2018-12-16 23:00:00,2018-12-16 23:15:00,2018-12-16 23:30:00,27,2,80,250,1,7.0,0.0,18.0,13.0,-52.0,-85.0,18.0,13.0,-52.0,-86.0,0.0,0.0,13.0,13.0,-51.0,-64.0,13.0,13.0,-51.0,-64.0,19.0,10.0,18.0,13.0,-47.0,-84.0,18.0,13.0,-46.0,-85.0,-68.0,18.0,-43,-73,1.0,0.0,0.0,0.0,0.0,0.0
