idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
75742,2019-05-27 08:30:00,2019-05-27 08:45:00,2019-05-27 09:00:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-38.0,-41.0,18.0,18.0,-36.0,-40.0,0.0,0.0,18.0,18.0,-38.0,-41.0,18.0,18.0,-36.0,-40.0,45.0,0.0,18.0,18.0,-39.0,-54.0,18.0,18.0,-38.0,-54.0,-64.5,18.0,-35,-84,0.0,0.0,1.0,0.0,0.0,0.0
107211,2019-05-27 19:30:00,2019-05-27 19:45:00,2019-05-27 20:00:00,19,3,38,28,1,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,0.0,0.0,18.0,18.0,-97.0,-97.0,18.0,18.0,-97.0,-97.0,-77.5,19.0,-41,-84,0.0,0.0,0.0,0.0,0.0,1.0
4190,2019-06-05 17:45:00,2019-06-05 18:00:00,2019-06-05 18:15:00,19,6,18,56,1,0.0,0.0,18.0,18.0,-41.0,-44.0,18.0,18.0,-41.0,-43.0,4.0,0.0,18.0,18.0,-42.0,-46.0,19.0,18.0,-42.0,-45.0,1.0,0.0,20.0,18.0,-44.0,-94.0,20.0,18.0,-44.0,-94.0,-72.5,21.0,-38,-84,0.0,0.0,0.0,1.0,0.0,0.0
4065,2019-06-05 02:45:00,2019-06-05 03:00:00,2019-06-05 03:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,0.0,0.0,0.0,0.0,0.0,1.0
76084,2018-06-18 16:30:00,2018-06-18 16:45:00,2018-06-18 17:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-37.0,-38.0,17.0,17.0,-37.0,-37.0,1.0,0.0,17.0,17.0,-37.0,-38.0,17.0,17.0,-37.0,-37.0,2.0,0.0,17.0,-99.0,-37.0,-38.0,17.0,17.0,-37.0,-93.0,-64.5,18.0,-43,-84,0.0,0.0,0.0,0.0,0.0,1.0
7774,2019-01-02 19:30:00,2019-01-02 19:45:00,2019-01-02 20:00:00,19,2,38,28,1,0.0,0.0,11.0,11.0,-31.0,-32.0,11.0,11.0,-32.0,-32.0,0.0,0.0,11.0,11.0,-31.0,-32.0,11.0,11.0,-32.0,-32.0,99.0,45.0,15.0,11.0,-27.0,-32.0,15.0,11.0,-28.0,-32.0,-83.0,19.0,-41,-84,0.0,1.0,0.0,0.0,0.0,0.0
6691,2019-06-18 16:45:00,2019-06-18 17:00:00,2019-06-18 17:15:00,19,2,13,28,1,0.0,0.0,18.0,18.0,-58.0,-60.0,18.0,18.0,-52.0,-54.0,0.0,0.0,18.0,18.0,-58.0,-64.0,18.0,18.0,-53.0,-58.0,91.0,31.0,22.0,18.0,-60.0,-97.0,22.0,18.0,-54.0,-96.0,-85.5,28.0,-49,-87,0.0,1.0,0.0,0.0,0.0,0.0
76076,2018-10-05 07:45:00,2018-10-05 08:00:00,2018-10-05 08:15:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-64.0,17.0,17.0,-62.0,-66.0,64.0,0.0,17.0,17.0,-62.0,-79.0,17.0,17.0,-65.0,-82.0,0.0,0.0,17.0,17.0,-69.0,-94.0,17.0,17.0,-70.0,-94.0,-64.5,18.0,-41,-84,0.0,1.0,0.0,0.0,0.0,0.0
1423,2019-06-05 22:30:00,2019-06-05 22:45:00,2019-06-05 23:00:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-34.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-33.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,0.0,0.0,0.0,0.0,0.0,1.0
155443,2019-06-05 05:00:00,2019-06-05 05:15:00,2019-06-05 05:30:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-29.0,-30.0,21.0,21.0,-29.0,-30.0,0.0,0.0,21.0,21.0,-29.0,-30.0,21.0,21.0,-29.0,-30.0,0.0,0.0,21.0,21.0,-29.0,-29.0,21.0,21.0,-29.0,-29.0,-85.0,23.0,-42,-86,0.0,0.0,0.0,0.0,0.0,1.0
