idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
6897,2018-10-29 20:15:00,2018-10-29 20:30:00,2018-10-29 20:45:00,19,5,42,28,1,0.0,0.0,12.0,12.0,-49.0,-50.0,2.0,2.0,-40.0,-41.0,0.0,0.0,13.0,12.0,-49.0,-68.0,5.0,2.0,-41.0,-62.0,11.0,1.0,15.0,12.0,-51.0,-87.0,5.0,2.0,-43.0,-80.0,-75.0,15.0,-37,-83,1.0
7116,2018-08-23 17:00:00,2018-08-23 17:15:00,2018-08-23 17:30:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-52.0,-55.0,18.0,18.0,-52.0,-55.0,0.0,0.0,22.0,18.0,-53.0,-85.0,22.0,18.0,-53.0,-83.0,32.0,0.0,22.0,22.0,-82.0,-97.0,22.0,22.0,-79.0,-94.0,-85.0,23.0,-46,-86,1.0
20610,2019-06-20 17:00:00,2019-06-20 17:15:00,2019-06-20 17:30:00,19,7,18,56,0,0.0,0.0,18.0,18.0,-49.0,-54.0,18.0,18.0,-48.0,-51.0,0.0,0.0,18.0,18.0,-49.0,-60.0,18.0,18.0,-48.0,-61.0,21.0,0.0,18.0,18.0,-56.0,-94.0,18.0,18.0,-54.0,-94.0,-71.0,19.0,-35,-84,1.0
127346,2018-09-17 16:30:00,2018-09-17 16:45:00,2018-09-17 17:00:00,19,2,18,28,1,0.0,0.0,14.0,14.0,-56.0,-58.0,14.0,14.0,-57.0,-58.0,0.0,0.0,18.0,14.0,-57.0,-78.0,18.0,14.0,-57.0,-82.0,22.0,0.0,18.0,15.0,-68.0,-89.0,18.0,14.0,-70.0,-94.0,-85.0,23.0,-45,-86,1.0
127346,2018-09-17 16:45:00,2018-09-17 17:00:00,2018-09-17 17:15:00,19,2,18,28,1,0.0,0.0,18.0,14.0,-57.0,-78.0,18.0,14.0,-57.0,-82.0,22.0,0.0,18.0,15.0,-68.0,-89.0,18.0,14.0,-70.0,-94.0,41.0,0.0,18.0,14.0,-67.0,-97.0,18.0,14.0,-67.0,-97.0,-85.0,23.0,-45,-86,1.0
127346,2018-09-17 17:00:00,2018-09-17 17:15:00,2018-09-17 17:30:00,19,2,18,28,1,22.0,0.0,18.0,15.0,-68.0,-89.0,18.0,14.0,-70.0,-94.0,41.0,0.0,18.0,14.0,-67.0,-97.0,18.0,14.0,-67.0,-97.0,24.0,3.0,18.0,15.0,-70.0,-97.0,18.0,15.0,-71.0,-97.0,-85.0,23.0,-45,-86,1.0
127346,2018-06-22 16:00:00,2018-06-22 16:15:00,2018-06-22 16:30:00,19,2,18,28,1,0.0,0.0,16.0,14.0,-58.0,-74.0,16.0,14.0,-58.0,-71.0,0.0,0.0,18.0,14.0,-58.0,-81.0,18.0,14.0,-58.0,-78.0,81.0,0.0,18.0,18.0,-81.0,-97.0,18.0,18.0,-78.0,-97.0,-85.0,23.0,-45,-86,1.0
127346,2018-06-22 15:00:00,2018-06-22 15:15:00,2018-06-22 15:30:00,19,2,18,28,1,0.0,0.0,14.0,14.0,-57.0,-58.0,14.0,14.0,-56.0,-58.0,0.0,0.0,15.0,14.0,-57.0,-66.0,15.0,14.0,-57.0,-66.0,11.0,0.0,18.0,14.0,-60.0,-96.0,18.0,14.0,-60.0,-92.0,-85.0,23.0,-45,-86,1.0
662836,2019-06-07 14:30:00,2019-06-07 14:45:00,2019-06-07 15:00:00,19,8,18,56,0,13.0,1.0,17.0,17.0,-53.0,-73.0,17.0,17.0,-55.0,-76.0,0.0,0.0,17.0,17.0,-55.0,-65.0,17.0,17.0,-57.0,-68.0,1.0,0.0,17.0,17.0,-56.0,-79.0,17.0,17.0,-58.0,-87.0,-68.0,19.0,-36,-84,1.0
662836,2019-06-07 14:00:00,2019-06-07 14:15:00,2019-06-07 14:30:00,19,8,18,56,0,0.0,0.0,17.0,17.0,-56.0,-64.0,17.0,17.0,-57.0,-65.0,0.0,0.0,17.0,17.0,-57.0,-65.0,17.0,17.0,-59.0,-67.0,13.0,1.0,17.0,17.0,-53.0,-73.0,17.0,17.0,-55.0,-76.0,-68.0,19.0,-36,-84,1.0
662836,2019-06-07 14:00:00,2019-06-07 14:15:00,2019-06-07 14:30:00,19,8,18,56,0,0.0,0.0,17.0,17.0,-54.0,-61.0,17.0,17.0,-57.0,-66.0,0.0,0.0,17.0,17.0,-55.0,-63.0,17.0,17.0,-58.0,-66.0,24.0,11.0,17.0,17.0,-51.0,-73.0,17.0,17.0,-53.0,-77.0,-68.0,19.0,-36,-84,1.0
286446,2019-06-06 02:45:00,2019-06-06 03:00:00,2019-06-06 03:15:00,19,9,11,40,0,0.0,0.0,23.0,23.0,-28.0,-46.0,23.0,23.0,-32.0,-57.0,0.0,0.0,23.0,23.0,-33.0,-51.0,23.0,23.0,-36.0,-58.0,0.0,0.0,23.0,23.0,-35.0,-48.0,23.0,23.0,-34.0,-73.0,-66.5,23.0,-41,-85,2.0
6183,2019-06-05 11:15:00,2019-06-05 11:30:00,2019-06-05 11:45:00,19,6,18,28,1,0.0,0.0,18.0,18.0,-37.0,-38.0,18.0,18.0,-39.0,-40.0,1.0,0.0,20.0,,-37.0,-75.0,20.0,,-36.0,-70.0,0.0,0.0,20.0,18.0,-36.0,-67.0,19.0,,-36.0,-40.0,-74.5,21.0,-39,-86,3.0
14220,2018-10-22 04:30:00,2018-10-22 04:45:00,2018-10-22 05:00:00,19,9,11,40,0,0.0,0.0,21.0,21.0,-42.0,-43.0,21.0,21.0,-41.0,-42.0,75.0,17.0,22.0,21.0,-43.0,-81.0,22.0,21.0,-42.0,-84.0,4.0,0.0,22.0,22.0,-42.0,-86.0,22.0,22.0,-42.0,-90.0,-66.5,23.0,-39,-85,3.0
14220,2018-10-22 04:15:00,2018-10-22 04:30:00,2018-10-22 04:45:00,19,9,11,40,0,0.0,0.0,21.0,21.0,-42.0,-44.0,21.0,21.0,-41.0,-44.0,0.0,0.0,21.0,21.0,-42.0,-43.0,21.0,21.0,-41.0,-42.0,75.0,17.0,22.0,21.0,-43.0,-81.0,22.0,21.0,-42.0,-84.0,-66.5,23.0,-39,-85,3.0
21516,2018-10-30 03:15:00,2018-10-30 03:30:00,2018-10-30 03:45:00,19,8,18,56,0,0.0,0.0,15.0,15.0,-37.0,-38.0,15.0,15.0,-37.0,-37.0,0.0,0.0,15.0,15.0,-37.0,-38.0,15.0,15.0,-36.0,-37.0,1.0,0.0,15.0,15.0,-37.0,-83.0,15.0,15.0,-37.0,-84.0,-68.0,19.0,-44,-84,3.0
132524,2019-06-20 04:30:00,2019-06-20 04:45:00,2019-06-20 05:00:00,19,9,7,28,0,0.0,0.0,22.0,22.0,-44.0,-47.0,22.0,22.0,-43.0,-46.0,0.0,0.0,22.0,22.0,-42.0,-54.0,22.0,22.0,-41.0,-58.0,30.0,12.0,22.0,22.0,-54.0,-69.0,22.0,22.0,-56.0,-73.0,-68.5,24.0,-45,-87,3.0
132524,2019-06-20 04:30:00,2019-06-20 04:45:00,2019-06-20 05:00:00,19,9,7,28,0,0.0,0.0,22.0,22.0,-45.0,-48.0,22.0,22.0,-44.0,-48.0,0.0,0.0,22.0,22.0,-43.0,-56.0,22.0,22.0,-42.0,-61.0,17.0,10.0,22.0,22.0,-55.0,-79.0,22.0,22.0,-56.0,-76.0,-68.5,24.0,-45,-87,3.0
570832,2019-06-12 04:45:00,2019-06-12 05:00:00,2019-06-12 05:15:00,19,7,11,40,0,0.0,0.0,23.0,23.0,-53.0,-70.0,23.0,23.0,-52.0,-68.0,6.0,4.0,23.0,23.0,-55.0,-78.0,23.0,23.0,-54.0,-72.0,10.0,6.0,23.0,23.0,-55.0,-82.0,23.0,23.0,-54.0,-78.0,-72.0,24.0,-55,-85,3.0
570832,2019-06-12 05:00:00,2019-06-12 05:15:00,2019-06-12 05:30:00,19,7,11,40,0,6.0,4.0,23.0,23.0,-55.0,-78.0,23.0,23.0,-54.0,-72.0,10.0,6.0,23.0,23.0,-55.0,-82.0,23.0,23.0,-54.0,-78.0,27.0,17.0,23.0,23.0,-59.0,-81.0,23.0,23.0,-57.0,-80.0,-72.0,24.0,-55,-85,3.0
1211633,2018-10-18 14:45:00,2018-10-18 15:00:00,2018-10-18 15:15:00,19,8,18,56,0,30.0,1.0,18.0,18.0,-49.0,-82.0,18.0,18.0,-49.0,-79.0,49.0,12.0,18.0,18.0,-55.0,-84.0,18.0,18.0,-54.0,-80.0,71.0,9.0,18.0,18.0,-57.0,-78.0,18.0,18.0,-54.0,-75.0,-68.0,19.0,-43,-84,3.0
1211633,2018-10-18 14:30:00,2018-10-18 14:45:00,2018-10-18 15:00:00,19,8,18,56,0,0.0,0.0,18.0,18.0,-52.0,-66.0,18.0,18.0,-51.0,-64.0,30.0,1.0,18.0,18.0,-49.0,-82.0,18.0,18.0,-49.0,-79.0,49.0,12.0,18.0,18.0,-55.0,-84.0,18.0,18.0,-54.0,-80.0,-68.0,19.0,-43,-84,3.0
