idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
630256,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,29,2,11,40,1,0.0,0.0,25.0,25.0,-54.0,-60.0,25.0,25.0,-53.0,-59.0,6.0,0.0,29.0,25.0,-59.0,-86.0,29.0,25.0,-58.0,-88.0,5.0,0.0,29.0,25.0,-52.0,-94.0,29.0,25.0,-51.0,-94.0,-83.5,28.0,-50,-85,0.0
630256,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,29,2,11,40,1,0.0,0.0,25.0,25.0,-54.0,-57.0,25.0,25.0,-53.0,-56.0,0.0,0.0,25.0,25.0,-54.0,-60.0,25.0,25.0,-53.0,-59.0,6.0,0.0,29.0,25.0,-59.0,-86.0,29.0,25.0,-58.0,-88.0,-83.5,28.0,-50,-85,0.0
14797,2018-11-20 12:45:00,2018-11-20 13:00:00,2018-11-20 13:15:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-62.0,-65.0,17.0,17.0,-56.0,-59.0,1.0,0.0,17.0,17.0,-61.0,-66.0,17.0,17.0,-55.0,-60.0,40.0,3.0,17.0,17.0,-60.0,-74.0,17.0,17.0,-55.0,-69.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-01 18:00:00,2018-11-01 18:15:00,2018-11-01 18:30:00,19,9,18,56,0,32.0,8.0,17.0,17.0,-61.0,-75.0,17.0,17.0,-55.0,-69.0,76.0,8.0,17.0,17.0,-64.0,-75.0,17.0,17.0,-59.0,-70.0,10.0,0.0,17.0,17.0,-63.0,-73.0,17.0,17.0,-56.0,-68.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-01 12:15:00,2018-11-01 12:30:00,2018-11-01 12:45:00,19,9,18,56,0,48.0,0.0,17.0,17.0,-68.0,-77.0,17.0,17.0,-61.0,-73.0,57.0,0.0,17.0,17.0,-63.0,-74.0,17.0,17.0,-56.0,-71.0,5.0,0.0,17.0,17.0,-61.0,-69.0,17.0,17.0,-55.0,-64.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-01 08:00:00,2018-11-01 08:15:00,2018-11-01 08:30:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-62.0,17.0,17.0,-55.0,-56.0,0.0,0.0,17.0,17.0,-61.0,-66.0,17.0,17.0,-55.0,-59.0,31.0,4.0,17.0,17.0,-65.0,-76.0,17.0,17.0,-59.0,-71.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-20 14:30:00,2018-11-20 14:45:00,2018-11-20 15:00:00,19,9,18,56,0,21.0,0.0,17.0,17.0,-61.0,-79.0,17.0,17.0,-55.0,-73.0,5.0,0.0,17.0,17.0,-61.0,-69.0,17.0,17.0,-55.0,-63.0,104.0,0.0,17.0,17.0,-61.0,-67.0,17.0,17.0,-55.0,-62.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-01 17:45:00,2018-11-01 18:00:00,2018-11-01 18:15:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-63.0,17.0,17.0,-55.0,-58.0,32.0,8.0,17.0,17.0,-61.0,-75.0,17.0,17.0,-55.0,-69.0,76.0,8.0,17.0,17.0,-64.0,-75.0,17.0,17.0,-59.0,-70.0,-64.5,18.0,-47,-84,1.0
14797,2019-01-22 08:30:00,2019-01-22 08:45:00,2019-01-22 09:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-64.0,-65.0,17.0,17.0,-58.0,-60.0,0.0,0.0,17.0,17.0,-63.0,-66.0,17.0,17.0,-58.0,-61.0,30.0,0.0,17.0,17.0,-65.0,-70.0,17.0,17.0,-60.0,-64.0,-64.5,18.0,-47,-84,1.0
14797,2018-11-20 18:45:00,2018-11-20 19:00:00,2018-11-20 19:15:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-63.0,17.0,17.0,-55.0,-56.0,4.0,0.0,17.0,17.0,-61.0,-72.0,17.0,17.0,-55.0,-66.0,84.0,15.0,17.0,17.0,-63.0,-74.0,17.0,17.0,-57.0,-68.0,-64.5,18.0,-47,-84,1.0
