,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1,287,2018-10-29 15:45:00,2018-10-29 16:00:00,2018-10-29 16:15:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-50.0,-53.0,19.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-52.0,-96.0,16.0,0.0,22.0,18.0,-50.0,-96.0,22.0,18.0,-52.0,-93.0,-85.0,23.0,-44,-86,0.0
0,287,2018-10-29 15:30:00,2018-10-29 15:45:00,2018-10-29 16:00:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-49.0,-49.0,18.0,18.0,-50.0,-50.0,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-50.0,-53.0,19.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-52.0,-96.0,-85.0,23.0,-44,-86,0.0
2509,672,2019-06-22 08:15:00,2019-06-22 08:30:00,2019-06-22 08:45:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-40.0,-41.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-40.0,-57.0,18.0,18.0,-40.0,-55.0,17.0,2.0,18.0,18.0,-48.0,-87.0,18.0,18.0,-49.0,-83.0,-64.5,18.0,-37,-84,0.0
2510,672,2019-06-22 08:15:00,2019-06-22 08:30:00,2019-06-22 08:45:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-39.0,-40.0,18.0,18.0,-38.0,-39.0,0.0,0.0,18.0,18.0,-40.0,-56.0,18.0,18.0,-38.0,-53.0,17.0,2.0,18.0,18.0,-48.0,-86.0,18.0,18.0,-47.0,-82.0,-64.5,18.0,-37,-84,0.0
2399,6292,2019-06-06 16:00:00,2019-06-06 16:15:00,2019-06-06 16:30:00,19,7,23,28,1,1.0,0.0,18.0,17.0,-40.0,-47.0,17.0,17.0,-39.0,-47.0,92.0,13.0,19.0,17.0,-46.0,-82.0,19.0,17.0,-46.0,-86.0,37.0,0.0,19.0,17.0,-40.0,-71.0,19.0,17.0,-41.0,-75.0,-72.5,19.0,-35,-86,0.0
2397,6292,2019-06-06 16:00:00,2019-06-06 16:15:00,2019-06-06 16:30:00,19,7,23,28,1,1.0,0.0,18.0,17.0,-39.0,-47.0,17.0,17.0,-40.0,-48.0,56.0,9.0,19.0,17.0,-46.0,-92.0,19.0,17.0,-48.0,-96.0,38.0,2.0,19.0,17.0,-39.0,-78.0,19.0,17.0,-41.0,-83.0,-72.5,19.0,-35,-86,0.0
2396,6292,2019-06-06 15:45:00,2019-06-06 16:00:00,2019-06-06 16:15:00,19,7,23,28,1,7.0,2.0,18.0,17.0,-40.0,-41.0,18.0,17.0,-39.0,-41.0,1.0,0.0,18.0,17.0,-39.0,-47.0,17.0,17.0,-40.0,-48.0,56.0,9.0,19.0,17.0,-46.0,-92.0,19.0,17.0,-48.0,-96.0,-72.5,19.0,-35,-86,0.0
2398,6292,2019-06-06 15:45:00,2019-06-06 16:00:00,2019-06-06 16:15:00,19,7,23,28,1,6.0,0.0,18.0,17.0,-40.0,-41.0,17.0,17.0,-39.0,-40.0,1.0,0.0,18.0,17.0,-40.0,-47.0,17.0,17.0,-39.0,-47.0,92.0,13.0,19.0,17.0,-46.0,-82.0,19.0,17.0,-46.0,-86.0,-72.5,19.0,-35,-86,0.0
2464,7081,2019-06-20 05:45:00,2019-06-20 06:00:00,2019-06-20 06:15:00,19,9,11,40,0,17.0,11.0,23.0,23.0,-53.0,-77.0,22.0,22.0,-51.0,-72.0,163.0,38.0,23.0,23.0,-64.0,-81.0,22.0,22.0,-62.0,-75.0,42.0,22.0,23.0,23.0,-55.0,-81.0,22.0,22.0,-53.0,-86.0,-66.5,23.0,-34,-85,0.0
2307,15641,2019-06-07 22:15:00,2019-06-07 22:30:00,2019-06-07 22:45:00,19,9,11,40,0,21.0,20.0,22.0,22.0,-38.0,-84.0,22.0,22.0,-35.0,-76.0,3.0,3.0,22.0,22.0,-35.0,-71.0,22.0,22.0,-32.0,-73.0,15.0,14.0,22.0,22.0,-39.0,-87.0,22.0,22.0,-35.0,-78.0,-66.5,23.0,-36,-85,0.0
2308,15641,2019-06-07 23:00:00,2019-06-07 23:15:00,2019-06-07 23:30:00,19,9,11,40,0,0.0,0.0,22.0,22.0,-35.0,-56.0,22.0,22.0,-33.0,-48.0,6.0,5.0,22.0,22.0,-32.0,-72.0,22.0,22.0,-30.0,-60.0,17.0,15.0,22.0,22.0,-40.0,-82.0,22.0,22.0,-38.0,-67.0,-66.5,23.0,-36,-85,0.0
806,19212,2018-09-21 10:00:00,2018-09-21 10:15:00,2018-09-21 10:30:00,19,5,23,28,1,0.0,0.0,16.0,16.0,-44.0,-48.0,16.0,16.0,-45.0,-49.0,0.0,0.0,16.0,16.0,-46.0,-51.0,16.0,16.0,-46.0,-51.0,3.0,2.0,18.0,16.0,-49.0,-96.0,18.0,16.0,-50.0,-97.0,-78.0,21.0,-42,-86,0.0
