,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1977,4065,2019-06-05 04:00:00,2019-06-05 04:15:00,2019-06-05 04:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1961,4065,2019-06-05 00:00:00,2019-06-05 00:15:00,2019-06-05 00:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1978,4065,2019-06-05 04:15:00,2019-06-05 04:30:00,2019-06-05 04:45:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1980,4065,2019-06-05 04:45:00,2019-06-05 05:00:00,2019-06-05 05:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1969,4065,2019-06-05 02:00:00,2019-06-05 02:15:00,2019-06-05 02:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1975,4065,2019-06-05 03:30:00,2019-06-05 03:45:00,2019-06-05 04:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1964,4065,2019-06-05 00:45:00,2019-06-05 01:00:00,2019-06-05 01:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1972,4065,2019-06-05 02:45:00,2019-06-05 03:00:00,2019-06-05 03:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1959,4065,2019-06-04 23:30:00,2019-06-04 23:45:00,2019-06-05 00:00:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-29.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1960,4065,2019-06-04 23:45:00,2019-06-05 00:00:00,2019-06-05 00:15:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-29.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1962,4065,2019-06-05 00:15:00,2019-06-05 00:30:00,2019-06-05 00:45:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1973,4065,2019-06-05 03:00:00,2019-06-05 03:15:00,2019-06-05 03:30:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
1966,4065,2019-06-05 01:15:00,2019-06-05 01:30:00,2019-06-05 01:45:00,19,2,38,28,1,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,0.0,0.0,19.0,19.0,-30.0,-30.0,19.0,19.0,-28.0,-29.0,-83.0,19.0,-38,-84,5.0
