idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
2356,2018-10-29 16:00:00,2018-10-29 16:15:00,2018-10-29 16:30:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-52.0,-57.0,3.0,3.0,-52.0,-57.0,0.0,0.0,7.0,3.0,-56.0,-78.0,7.0,3.0,-57.0,-78.0,15.0,0.0,7.0,3.0,-63.0,-97.0,7.0,3.0,-63.0,-97.0,-83.0,19.0,-45,-84,0.0
33846,2019-03-24 13:45:00,2019-03-24 14:00:00,2019-03-24 14:15:00,27,1,80,250,1,0.0,0.0,13.0,13.0,-43.0,-46.0,13.0,13.0,-46.0,-55.0,1.0,0.0,13.0,13.0,-42.0,-45.0,13.0,13.0,-49.0,-61.0,199.0,98.0,18.0,13.0,-36.0,-43.0,18.0,13.0,-55.0,-74.0,-71.0,18.0,-21,-73,0.0
12296,2018-10-29 09:30:00,2018-10-29 09:45:00,2018-10-29 10:00:00,19,2,38,28,1,0.0,0.0,14.0,13.0,-53.0,-62.0,14.0,14.0,-56.0,-64.0,0.0,0.0,14.0,13.0,-54.0,-63.0,15.0,14.0,-57.0,-65.0,9.0,2.0,17.0,13.0,-59.0,-88.0,18.0,14.0,-63.0,-92.0,-83.0,19.0,-48,-84,0.0
64149,2018-09-06 15:30:00,2018-09-06 15:45:00,2018-09-06 16:00:00,19,3,18,28,1,0.0,0.0,20.0,19.0,-43.0,-65.0,19.0,19.0,-41.0,-66.0,30.0,6.0,23.0,19.0,-62.0,-95.0,23.0,19.0,-63.0,-97.0,4.0,0.0,23.0,19.0,-64.0,-96.0,23.0,19.0,-64.0,-97.0,-79.5,23.0,-47,-86,0.0
33846,2018-07-16 19:15:00,2018-07-16 19:30:00,2018-07-16 19:45:00,27,1,80,250,1,0.0,0.0,13.0,13.0,-24.0,-26.0,13.0,13.0,-25.0,-27.0,20.0,2.0,18.0,-2.0,-25.0,-89.0,18.0,0.0,-26.0,-87.0,2.0,0.0,18.0,13.0,-27.0,-89.0,18.0,13.0,-28.0,-87.0,-71.0,18.0,-21,-73,0.0
17728,2018-06-23 02:00:00,2018-06-23 02:15:00,2018-06-23 02:30:00,19,5,38,56,1,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,-74.0,17.0,-35,-82,1.0
33382,2019-02-14 13:00:00,2019-02-14 13:15:00,2019-02-14 13:30:00,19,3,18,28,1,0.0,0.0,23.0,20.0,-69.0,-75.0,23.0,20.0,-68.0,-77.0,0.0,0.0,23.0,20.0,-68.0,-75.0,23.0,20.0,-68.0,-76.0,4.0,2.0,23.0,23.0,-69.0,-87.0,23.0,20.0,-68.0,-87.0,-79.5,23.0,-45,-86,1.0
4713,2019-05-29 18:15:00,2019-05-29 18:30:00,2019-05-29 18:45:00,19,2,18,28,1,357.0,78.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-83.0,-88.0,260.0,44.0,23.0,23.0,-81.0,-96.0,23.0,23.0,-79.0,-88.0,121.0,38.0,23.0,23.0,-88.0,-96.0,23.0,23.0,-83.0,-87.0,-85.0,23.0,-45,-86,1.0
33382,2019-02-14 14:15:00,2019-02-14 14:30:00,2019-02-14 14:45:00,19,3,18,28,1,0.0,0.0,23.0,20.0,-69.0,-76.0,23.0,20.0,-68.0,-75.0,0.0,0.0,23.0,20.0,-69.0,-76.0,23.0,20.0,-68.0,-75.0,44.0,3.0,23.0,23.0,-70.0,-85.0,23.0,20.0,-69.0,-86.0,-79.5,23.0,-45,-86,1.0
17728,2018-06-23 01:00:00,2018-06-23 01:15:00,2018-06-23 01:30:00,19,5,38,56,1,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,-74.0,17.0,-35,-82,1.0
17728,2018-06-23 00:00:00,2018-06-23 00:15:00,2018-06-23 00:30:00,19,5,38,56,1,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-97.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-97.0,-97.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-97.0,-74.0,17.0,-35,-82,1.0
17728,2018-06-23 02:15:00,2018-06-23 02:30:00,2018-06-23 02:45:00,19,5,38,56,1,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-97.0,-74.0,17.0,-35,-82,1.0
17728,2018-06-23 02:30:00,2018-06-23 02:45:00,2018-06-23 03:00:00,19,5,38,56,1,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-96.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-97.0,0.0,0.0,17.0,17.0,-97.0,-97.0,17.0,17.0,-96.0,-97.0,-74.0,17.0,-35,-82,1.0
