idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
672,2019-06-22 08:15:00,2019-06-22 08:30:00,2019-06-22 08:45:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-39.0,-40.0,18.0,18.0,-38.0,-39.0,0.0,0.0,18.0,18.0,-40.0,-56.0,18.0,18.0,-38.0,-53.0,17.0,2.0,18.0,18.0,-48.0,-86.0,18.0,18.0,-47.0,-82.0,-64.5,18.0,-37,-84,0.0
672,2019-06-22 08:15:00,2019-06-22 08:30:00,2019-06-22 08:45:00,19,9,18,56,0,0.0,0.0,18.0,18.0,-40.0,-41.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-40.0,-57.0,18.0,18.0,-40.0,-55.0,17.0,2.0,18.0,18.0,-48.0,-87.0,18.0,18.0,-49.0,-83.0,-64.5,18.0,-37,-84,0.0
2356,2018-12-12 15:45:00,2018-12-12 16:00:00,2018-12-12 16:15:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,44.0,14.0,7.0,3.0,-51.0,-97.0,7.0,3.0,-52.0,-98.0,30.0,12.0,7.0,3.0,-50.0,-89.0,7.0,3.0,-51.0,-94.0,-83.0,19.0,-45,-84,0.0
2356,2018-12-12 15:30:00,2018-12-12 15:45:00,2018-12-12 16:00:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,44.0,14.0,7.0,3.0,-51.0,-97.0,7.0,3.0,-52.0,-98.0,-83.0,19.0,-45,-84,0.0
2356,2018-08-25 05:45:00,2018-08-25 06:00:00,2018-08-25 06:15:00,19,2,38,28,1,0.0,0.0,3.0,3.0,-51.0,-51.0,3.0,3.0,-52.0,-52.0,0.0,0.0,3.0,3.0,-51.0,-52.0,3.0,3.0,-52.0,-53.0,6.0,0.0,7.0,3.0,-52.0,-97.0,7.0,3.0,-53.0,-98.0,-83.0,19.0,-45,-84,0.0
3891,2019-05-28 16:45:00,2019-05-28 17:00:00,2019-05-28 17:15:00,19,5,23,28,1,0.0,0.0,18.0,18.0,-39.0,-40.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-39.0,-54.0,18.0,18.0,-39.0,-53.0,1.0,0.0,20.0,18.0,-44.0,-97.0,20.0,,-48.0,-55.0,-78.0,21.0,-39,-86,0.0
3891,2019-05-28 17:00:00,2019-05-28 17:15:00,2019-05-28 17:30:00,19,5,23,28,1,0.0,0.0,18.0,18.0,-39.0,-54.0,18.0,18.0,-39.0,-53.0,1.0,0.0,20.0,18.0,-44.0,-97.0,20.0,,-48.0,-55.0,6.0,0.0,20.0,18.0,-49.0,-94.0,20.0,18.0,-49.0,-91.0,-78.0,21.0,-39,-86,0.0
7081,2019-06-20 05:45:00,2019-06-20 06:00:00,2019-06-20 06:15:00,19,9,11,40,0,17.0,11.0,23.0,23.0,-53.0,-77.0,22.0,22.0,-51.0,-72.0,163.0,38.0,23.0,23.0,-64.0,-81.0,22.0,22.0,-62.0,-75.0,42.0,22.0,23.0,23.0,-55.0,-81.0,22.0,22.0,-53.0,-86.0,-66.5,23.0,-34,-85,0.0
7711,2018-07-05 16:30:00,2018-07-05 16:45:00,2018-07-05 17:00:00,19,5,18,28,1,0.0,0.0,17.0,15.0,-53.0,-71.0,19.0,17.0,-55.0,-77.0,36.0,1.0,17.0,16.0,-63.0,-87.0,19.0,17.0,-67.0,-94.0,48.0,12.0,17.0,15.0,-62.0,-84.0,19.0,17.0,-65.0,-89.0,-78.0,21.0,-41,-86,0.0
7711,2018-07-05 16:15:00,2018-07-05 16:30:00,2018-07-05 16:45:00,19,5,18,28,1,0.0,0.0,15.0,15.0,-45.0,-54.0,17.0,17.0,-46.0,-56.0,0.0,0.0,17.0,15.0,-53.0,-71.0,19.0,17.0,-55.0,-77.0,36.0,1.0,17.0,16.0,-63.0,-87.0,19.0,17.0,-67.0,-94.0,-78.0,21.0,-41,-86,0.0
